지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22104,1999-03,3.7,1025.4,25,7.6,13.4,1.8,0.6,0.8,2.5,1.1,1.2
22104,1999-03,4.7,,,,,1.2,0.4,0.7,1.9,0.9,1.1
22104,1999-03,4.7,1013.9,93,12,13.6,1.4,0.4,0.7,2,0.7,1
22104,1999-03,6.4,1008.4,93,11.9,13.6,,,1.5,5,2.5,7.5
22104,1999-03,9,,,,,3.1,1.1,1.5,4,0.8,1
22104,1999-03,6.4,1024.3,39,9.8,13.5,1.5,0.5,0.7,2,0.8,1
22104,1999-03,7.4,1026.3,55,8.5,13.3,1.8,0.6,0.7,2.2,1.2,7.5
22104,1999-03,7.9,1023.2,65,10,13.1,1.9,0.6,0.7,2.4,2.8,7.5
22104,1999-03,3.4,1022.1,69,11.3,13.4,1.3,0.4,0.6,1.9,1,7.5
22104,1999-04,4.3,,,,,1.1,0.3,0.7,2,2.3,7.5
22104,1999-04,,,,,,,,1,2.7,,7.5
22104,1999-04,3.5,1022.8,46,10.1,13.7,1.6,0.5,0.8,2.2,0.9,1
22104,1999-04,5.4,1019,66,11.4,13.5,1,0.3,0.5,1.6,1.2,7.5
22104,1999-04,,1014,66,12.8,13.7,,,0.4,1.3,,7.5
22104,1999-04,9.4,1008.6,73,10.8,12.8,,,1.5,5,1.1,2.7
22104,1999-04,3.4,1021.1,64,10,14.3,2.7,0.9,1.3,4.5,1,1.1
22104,1999-04,,,,,,,,0.7,2.4,,1
22104,1999-04,5.4,1017,84,13.5,14.9,1.6,0.5,1.4,3.8,1.5,7.5
22104,1999-04,6.3,1004.3,89,14.1,14.6,3.5,1.2,2,5.9,1,1.1
22104,1999-04,,,,,,,,1.5,4.3,,1
22104,1999-04,,1000.6,86,13.8,14,,,1.8,5.3,,3.3
22104,1999-04,11.1,1003.3,68,10.6,12.9,4.1,1.3,1.7,8,0.9,1.1
22104,1999-04,6,1016,50,11.6,13.1,1.9,0.6,0.8,2.7,0.9,1.1
22104,1999-04,3.8,1020.2,61,13.1,13.6,1.1,0.3,0.5,1.4,1,1.1
22104,1999-04,5.3,1016.8,83,13.2,13.6,0.8,0.3,0.4,1,1,1.1
22104,1999-04,2.4,1014.9,88,14,14.1,0.6,0.2,0.2,0.8,0.9,1
22104,1999-04,8.3,1009,93,14.2,14.1,1.6,0.5,0.8,2.2,2.9,7.5
22104,1999-04,6,,,,,1.5,0.5,1,4.1,3,7.5
22104,1999-04,3.5,1014.5,87,14.7,14.2,1,0.3,0.4,1.3,1.9,7.5
22104,1999-04,5.1,1008.4,87,15.8,14.9,,,,,1,2.3
22104,1999-04,7.4,,,,,2.2,0.7,1.2,3.7,3.1,7.5
22104,1999-04,7.6,,,,,2.2,0.7,0.9,2.8,2.3,7.5
22104,1999-04,2.5,1015.5,77,15.8,16.6,1.5,0.5,0.6,2,0.6,1.2
22104,1999-04,4.6,1009.2,81,16.4,16.5,1.2,0.4,1,2.8,1,3.8
22104,1999-04,10.1,1012.3,74,13.5,15.8,3.2,1.1,1.4,4.5,0.7,1
22104,1999-04,3.6,1020.2,76,13.2,16,1.2,0.4,0.7,2.2,0.8,1.2
22104,1999-04,4.2,1023.7,81,14.9,15.6,0.7,0.2,0.3,1,0.9,1
22104,1999-05,4.6,1026.4,84,15.5,15.7,0.5,0.1,0.2,0.9,1.7,7.5
22104,1999-05,2.9,1024.8,86,16,16.3,0.5,0.1,0.2,0.8,1.6,7.5
22104,1999-05,,1015.8,91,16.1,15.6,,,,,,
22104,1999-05,5.4,1004.1,86,15.8,15.3,2.3,0.8,1.2,3.8,0.8,7.5
22104,1999-05,5.1,1007.2,86,15,15,1.4,0.4,0.6,2.3,0.9,2.7
22104,1999-05,5.6,,,,,,,,,3.5,7.5
22104,1999-05,7.8,1009.5,79,15.5,14.8,1.6,0.5,0.8,2.4,4.2,7.5
22104,1999-05,5.8,,,,,1.3,0.4,0.6,1.9,3.2,7.5
